carrier,product,state,age,sex,smoker,face_amount,health_class,monthly_premium,rank_in_quote,is_best,is_mvi_appointed,integrity_carrier,integrity_product,harvest_batch_id,source_date
amam,golden_solution_rop,NE,55,female,0,10000,standard_nt,42.53,29,0,1,American Amicable,Golden Solution ROP,2026-08-15,2026-08-15
foresters,planright_standard,NE,55,female,0,10000,standard_nt,43.16,30,0,0,foresters,PlanRight/Standard,2026-08-15,2026-08-15
foresters,planright_rop,NE,55,female,0,10000,standard_nt,43.78,31,0,0,foresters,PlanRight ROP,2026-08-15,2026-08-15
aetna,standard,NE,55,female,0,10000,standard_nt,44.1,32,0,1,Aetna,Standard,2026-08-15,2026-08-15
cigna,primary_plan_rop,NE,55,female,0,10000,standard_nt,44.15,33,0,0,cigna,PRIMARY PLAN ROP,2026-08-15,2026-08-15
lbl,mwl,NE,55,female,0,10000,standard_nt,44.15,34,0,0,lbl,MWL,2026-08-15,2026-08-15
gerber,gerber_guaranteed_life,NE,55,female,0,10000,standard_nt,44.28,35,0,0,gerber,Gerber Guaranteed Life,2026-08-15,2026-08-15
transamerica,express_select,NE,55,female,0,10000,standard_nt,45.58,36,0,1,Transamerica Life Insurance Co.,Express Select,2026-08-15,2026-08-15
amam,senior_choice_rop,NE,55,female,0,10000,standard_nt,45.79,37,0,1,American Amicable,Senior Choice ROP,2026-08-15,2026-08-15
amam,platinum_solution_rop,NE,55,female,0,10000,standard_nt,46.65,38,0,1,American Amicable,Platinum Solution ROP,2026-08-15,2026-08-15
gtl,heritage_plan,NE,55,female,0,10000,standard_nt,47.0,39,0,0,gtl,Heritage Plan,2026-08-15,2026-08-15
royal,ensured_legacy_graded,NE,55,female,0,10000,standard_nt,48.02,40,0,0,royal,Ensured Legacy - Graded,2026-08-15,2026-08-15
aetna,primary_plan_rop,NE,55,female,0,10000,standard_nt,48.91,41,0,1,Aetna,PRIMARY PLAN ROP,2026-08-15,2026-08-15
royal,graded_benefit_life,NE,55,female,0,10000,standard_nt,49.55,42,0,0,royal,Graded Benefit Life,2026-08-15,2026-08-15
corebridge,giwl_up_to_19_999,NE,55,female,0,10000,standard_nt,50.61,43,0,1,Corebridge Financial,GIWL up to $19;999,2026-08-15,2026-08-15
logo,superior_choice_gi,NE,55,female,0,10000,standard_nt,54.0,44,0,0,logo,Superior Choice - GI,2026-08-15,2026-08-15
aflac,primary_plan_rop,NE,55,female,0,10000,standard_nt,54.98,45,0,0,Aflac,Primary Plan ROP,2026-08-15,2026-08-15
logo,express_issue_graded,NE,55,female,0,10000,standard_nt,65.05,46,0,0,logo,Express Issue Graded,2026-08-15,2026-08-15
transamerica,easy_solution,NE,55,female,0,10000,standard_nt,72.62,47,0,1,Transamerica Life Insurance Co.,Easy Solution,2026-08-15,2026-08-15
